"SUID","EdgeBetweenness","interaction","MI sano","MI_","name","selected","shared interaction","shared name"
"35677","11197.96042555","0.1828",,"0.1828","RFX5 (0.1828) SIRT7","false","0.1828","RFX5 (0.1828) SIRT7"
"35678","24239.38450408","0.199855",,"0.199855","RFX5 (0.199855) SYNJ2BP","false","0.199855","RFX5 (0.199855) SYNJ2BP"
"35679","2947.45977375","0.194185",,"0.194185","PAPOLA (0.194185) TRIM26","false","0.194185","PAPOLA (0.194185) TRIM26"
"35680","17963.45582214","0.200482",,"0.200482","PAPOLA (0.200482) SPATA2L","false","0.200482","PAPOLA (0.200482) SPATA2L"
"35681","8432.03768192","0.219496",,"0.219496","PAPOLA (0.219496) UQCRC1","false","0.219496","PAPOLA (0.219496) UQCRC1"
"35682","4.0","0.175287",,,"EXD3 (0.175287) MYO7B","false","0.175287","EXD3 (0.175287) MYO7B"
"35683","4.0","0.206843",,,"EXD3 (0.206843) TAZ","false","0.206843","EXD3 (0.206843) TAZ"
"35684","8426.0","0.198722",,"0.198722","EXOC3 (0.198722) LIAS","false","0.198722","EXOC3 (0.198722) LIAS"
"35685","8426.0","0.177695",,"0.177695","NEMF (0.177695) RBM25","false","0.177695","NEMF (0.177695) RBM25"
"35686","12.0","0.187312",,,"EXOC6 (0.187312) TDRD10","false","0.187312","EXOC6 (0.187312) TDRD10"
"35687","20.0","0.223174",,,"EXOC6 (0.223174) LRRC32","false","0.223174","EXOC6 (0.223174) LRRC32"
"35688","8426.0","0.191891",,"0.191891","EXOC7 (0.191891) NDUFB10","false","0.191891","EXOC7 (0.191891) NDUFB10"
"35689","1495.05225298","0.174997",,"0.174997","EXOSC4 (0.174997) PTRH2","false","0.174997","EXOSC4 (0.174997) PTRH2"
"35690","8879.26359231","0.176898",,"0.176898","EXOSC4 (0.176898) SLC25A32","false","0.176898","EXOSC4 (0.176898) SLC25A32"
