hs2	73892314	73919865	3
hs5	170374671	170389677	3
hs16	15703135	15857033	5
hs19	11538717	11550323	3
hs19	38647649	38731583	1
hs15	78437431	78501456	7
hs19	38730187	38769904	1
hs14	58200080	58235636	3
hs21	31659622	31668931	1
hs10	102479229	102502711	8
hs1	162631373	162787400	20
hs10	92451684	92574076	1
hs2	113889960	113962596	1
hs3	47282917	47346816	4
hs12	100199122	100241865	1
hs2	195575977	195737702	1
hs2	147844517	147930826	1
hs13	46342000	46438190	3
hs3	38453851	38493142	67
hs15	64165517	64356259	2
hs17	16620737	16653856	8
hs19	52012765	52030240	3
hs2	127861630	127885922	3
hs3	44431720	44477670	5
hs8	13083361	13604610	25
hs1	27959462	27968096	15
hs6	28244623	28252224	2
hs19	52336245	52367778	8
hs8	103398635	103415189	1
hs17	37489831	37513501	22
hs19	19865886	19894674	3
hs19	56538948	56556810	1
hs18	10525905	10552761	11
hs5	98853985	98928957	28
hs17	45263121	45317040	5
hs16	19716456	19858467	1
hs5	112976702	113020970	3
hs16	4257186	4273075	4
hs3	150408335	150466431	72
hs10	97319267	97321915	1
hs1	248810446	248826633	1
hs19	56567511	56588911	1
hs12	13196716	13219939	15
hs1	45339670	45343975	14
hs5	180847611	180861285	11
hs1	27392644	27395814	11
hs6	28267010	28278224	1
hs2	67397319	67410545	5
hs19	40069152	40090938	10
hs16	89696343	89701705	59
hs16	24729695	24827632	14
hs10	97332497	97334709	1
hs10	38010650	38065088	3
hs4	139028112	139177218	2
hs20	59936668	59940297	1
hs9	122908056	122913330	1
hs19	36334453	36379199	7
hs21	36134912	36146566	4
hs1	9539482	9585179	5
hs10	23439458	23442390	6
hs19	11089362	11133816	32
hs6	42744481	42746096	4
hs5	134194334	134226142	29
hs6	11183298	11382348	48
hs19	32345594	32387667	6
hs19	51991332	52008230	5
hs22	20394115	20408461	9
hs19	37613749	37692337	2
hs19	44002948	44013926	11
hs2	238244038	238290102	38
hs19	37696363	37719790	1
hs20	59933764	59948680	1
hs12	56998834	57006446	20
hs9	126860665	126885878	1
hs19	36445119	36489902	4
hs14	44897295	44907257	18
hs3	51983340	51989197	5
hs1	23801885	23838620	7
hs8	144051266	144063832	4
hs10	126012381	126388455	7
hs5	147390811	147510056	6
hs8	23297189	23425328	4
hs2	134455759	134719000	7
hs7	33904911	34155872	2
hs2	189031896	189179879	1
hs1	99969789	100026979	1
hs2	9488486	9555792	2
hs15	41895939	41972578	1
hs4	107824563	107915047	10
hs5	157395534	157575775	1
hs7	87934143	88202889	4
hs7	82754013	83162930	1
hs1	230837119	230869589	7
hs9	2621834	2660053	1
hs20	36091504	36232799	5
hs14	105969729	105972269	3
hs12	6444867	6451718	7
hsX	48913182	48919024	2
hs19	41877120	41881372	3
hs22	41699499	41799456	2
hs1	160739057	160754821	1
hs16	11965107	11968068	5
hs22	23834503	23839128	11
hs21	26835747	26845409	6
hsX	23983720	24027186	17
hs8	22687659	22693302	44
hs6	36676460	36687339	25
hs12	52022832	52059507	4
hs5	140332843	140346631	17
hs12	7919230	7936275	1
hs5	33523535	33892192	1
hs13	110305812	110513027	1
hs11	130448974	130476641	1
hs2	187464230	187565760	21
hs5	5140330	5320304	1
hs8	72537391	72938349	4
hs16	77247813	77435114	1
hs19	3359563	3469217	1
hs1	161184308	161199056	30
hs11	18606401	18634791	11
hs2	28392448	28417312	35
hs8	102648779	102655902	18
hs19	29665056	29675457	8
hs12	52069246	52077494	16
hs19	45589764	45602208	2
hs5	138331935	138349729	29
hs17	7839904	7854796	6
hs12	48857145	48865898	26
hs11	43925342	43944338	12
hs9	128068201	128109245	52
hs19	40421592	40426025	49
hs19	1248553	1259140	46
hs6	37170203	37175426	19
hs12	7812512	7891148	1
hs8	33547755	33567125	28
hs5	65148736	65481920	3
hs15	73925989	73952137	20
hs7	150338317	150341674	7
hs1	150508062	150513789	12
hs9	18473894	18910950	1
hs15	43510958	43531620	2
hs9	36036433	36124451	2
hs1	207880972	207911402	2
hs11	89324356	89498187	10
hs17	30906344	30959322	1
hs6	31615184	31617021	1
hs6	143422832	143450673	1
hs15	24823637	24978723	3
hs7	140673153	140696261	1
hs1	154155304	154194648	10
hs8	100157906	100259278	4
hs11	34915829	35020591	1
hs19	5158495	5340803	3
hs5	74721204	74767371	2
hs5	218241	256700	5
hs8	66430185	66471601	4
hs15	41557675	41583586	30
hs1	173477266	173488807	9
hs7	44062727	44065587	3
hs2	63840940	63891562	40
hs2	201387858	201480846	22
hs1	212285537	212361863	2
hs1	161070995	161089599	28
hs19	51345169	51366418	13
hs2	63588609	63607197	21
hs2	24819169	24919839	1
hs12	77830905	78213008	1
hs18	35581117	35711834	2
hs14	24318349	24335093	2
hs17	42113108	42121358	1
hs11	124752583	124762290	10
hs3	123282296	123449758	1
hs14	102362963	102502481	3
hs16	50246137	50318135	1
hs2	109129348	109504632	1
hs16	3953387	4116185	2
hs12	121804180	121832584	3
hs17	28905250	28951771	20
hs8	37784191	37844896	2
hs10	98457077	99235862	1
hs11	7485388	7511377	9
hs8	142449430	142545009	1
hs4	82629539	82798857	1
hs1	31727117	31764893	5
hs13	94574051	94596257	4
hs11	66466327	66477337	3
hs5	78485215	78770021	17
hs12	69470349	69579789	2
hs6	36948263	36964837	2
hs6	32038265	32041670	1
hs1	1632095	1701810	22
hs11	47586693	47589194	7
hs11	62686402	62689899	17
hs10	47300386	47313547	17
hs11	102691487	102705806	9
hs4	112818109	113383740	11
hs18	2847030	2915993	16
hs6	85449584	85495791	7
hs6	46852512	46954943	1
hs21	38380027	38661780	4
hs16	57610652	57665580	1
hs2	25377198	25673647	2
hs16	57668187	57689378	5
hs4	175632934	176002664	7
hs11	123629187	123655244	7
hs5	180601506	180649624	7
hs3	194355247	194369743	7
hs19	14147743	14206187	2
hs19	14477760	14496149	2
hs20	19212646	19722937	8
hs1	81306160	81992436	1
hs1	78889764	79006718	9
hs6	152697895	152724567	4
hs10	86935540	86969481	1
hs4	100395341	100880126	1
hsX	50591647	50814302	1
hs5	90529344	91164221	3
hs20	52972407	53495330	12
hs1	42925375	42959173	1
hs7	51016212	51316818	3
hs4	99304964	99321401	4
hs4	99336492	99353027	1
hs1	120150898	120176515	9
hs7	80369575	80679277	3
hs7	40134977	40860763	1
hs1	202940823	202958572	1
hsX	154428632	154436516	1
hs12	1688574	1788678	3
hs7	132123332	132648688	32
hs21	43719094	43762307	1
hs2	85354394	85391752	17
hs11	10304680	10307397	1
hs9	100427156	100451711	2
hs19	49688664	49690575	3
hs7	88270892	88306891	1
hs16	14071321	14266773	2
hsX	38561370	38688920	1
hs18	80109031	80147523	2
hs19	37007857	37130314	2
hs10	62804857	62808483	5
hs12	50392383	50480004	5
hs7	99325898	99388164	4
hs1	203090654	203167405	1
hs2	181891833	181930738	1
hs1	111499429	111503760	2
hs1	182598623	182604408	26
hs8	133036724	133103054	27
hs15	72751369	72785846	1
hs15	51447711	51622833	1
hs10	111077163	111080907	1
hs10	110919547	111013667	2
hs4	3766348	3768526	1
hs1	209614870	209652466	2
hs11	67266410	67286556	11
hs1	161039251	161045977	5
hs11	95976598	96343180	5
hs20	45881227	45885266	1
hs7	77798792	77957503	4
hs20	62302093	62308862	4
hs19	41883161	41930150	6
hs11	129375940	129452279	39
hs14	104724186	104747325	1
hs17	39921041	39927601	7
hs7	44104361	44114562	4
hsX	74421461	74533917	2
hs12	19404045	19720801	2
hs15	88621296	88632282	1
hsX	130064874	130110716	3
hs19	3052910	3063107	1
hs22	50263713	50270767	1
hs4	7758714	7939926	2
hs10	124984317	125161170	15
hs5	149271871	149341802	5
hs13	110148963	110307149	1
hs1	76074719	76634601	1
hs14	74493720	74497106	3
hs1	63774022	64181498	2
hs10	30012800	30115494	8
hs10	114294824	114404756	1
hs10	97222173	97292673	2
hs16	89972586	90002161	1
hs3	196347662	196432474	8
hs18	12328944	12377314	17
hs7	2558972	2614734	8
hs17	78187317	78207701	1
hs5	6599239	6633291	15
hs7	151085831	151144436	5
hs6	42890265	42890816	1
hs7	6009245	6023834	6
hs1	145738868	145824077	1
hs1	196651878	196747504	1
hsX	135032366	135033546	2
hs10	49982190	50010499	2
hs1	204516379	204558120	3
hs5	77029251	77065234	1
hs1	231223763	231241187	1
hs8	140520156	140635619	12
hs3	114338094	115147271	8
hs5	168548495	168579600	7
hs4	55427903	55547138	3
hs2	37099210	37157065	9
hs15	42738734	42920809	2
hs1	214348696	214552449	7
hs13	42040036	42256578	12
hs3	188153284	188890671	13
hs6	34279679	34392674	8
hs5	96935394	97037515	23
hs8	28890394	29064764	1
hs1	35930718	36072500	1
hs6	32168212	32178096	1
hs16	28532708	28539174	4
hs5	140564456	140569103	1
hs10	80407829	80437115	1
hs4	76251721	76311129	6
hs3	127689062	127823250	7
