"SUID","EdgeBetweenness","interaction","MI sano","MI_","MI_enfermos","name","selected","shared interaction","shared name"
"40785","20.3087948","0.264491",,,"0.264491","NEURL4 (0.264491) WRAP53","false","0.264491","NEURL4 (0.264491) WRAP53"
"40786","13.4082722","0.332537",,,"0.332537","NEURL4 (0.332537) SENP3","false","0.332537","NEURL4 (0.332537) SENP3"
"40787","38.95714286","0.166439",,,"0.166439","FYTTD1 (0.166439) NCBP2","false","0.166439","FYTTD1 (0.166439) NCBP2"
"40788","11.17777778","0.169204",,,"0.169204","FYTTD1 (0.169204) RPL35A","false","0.169204","FYTTD1 (0.169204) RPL35A"
"40789","23.62698413","0.177526",,,"0.177526","FYTTD1 (0.177526) WDR53","false","0.177526","FYTTD1 (0.177526) WDR53"
"40790","7.08333333","0.189732",,,"0.189732","FYTTD1 (0.189732) KIAA0226","false","0.189732","FYTTD1 (0.189732) KIAA0226"
"40791","22.13809524","0.169228",,,"0.169228","ACAP2 (0.169228) FYTTD1","false","0.169228","ACAP2 (0.169228) FYTTD1"
"40792","78.0","0.171649",,,"0.171649","ACAP2 (0.171649) PPP1R2","false","0.171649","ACAP2 (0.171649) PPP1R2"
"40793","28.62222222","0.172846",,,"0.172846","ACAP2 (0.172846) WDR53","false","0.172846","ACAP2 (0.172846) WDR53"
"40794","32.53809524","0.176341",,,"0.176341","ACAP2 (0.176341) UBXN7","false","0.176341","ACAP2 (0.176341) UBXN7"
"40795","155.97619048","0.177636",,,"0.177636","ACAP2 (0.177636) DCUN1D1","false","0.177636","ACAP2 (0.177636) DCUN1D1"
"40796","38.88888889","0.178783",,,"0.178783","ACAP2 (0.178783) RPL35A","false","0.178783","ACAP2 (0.178783) RPL35A"
"40797","28.23333333","0.184156",,,"0.184156","ACAP2 (0.184156) KIAA0226","false","0.184156","ACAP2 (0.184156) KIAA0226"
"40798","19.02698413","0.177701",,,"0.177701","UBXN7 (0.177701) WDR53","false","0.177701","UBXN7 (0.177701) WDR53"
"40799","20.3","0.181142",,,"0.181142","RPL35A (0.181142) UBXN7","false","0.181142","RPL35A (0.181142) UBXN7"
"40800","9.23333333","0.175144",,,"0.175144","KIAA0226 (0.175144) RPL35A","false","0.175144","KIAA0226 (0.175144) RPL35A"
"40801","25.95555556","0.188641",,,"0.188641","KIAA0226 (0.188641) SENP5","false","0.188641","KIAA0226 (0.188641) SENP5"
"40802","28.87222222","0.194518",,,"0.194518","KIAA0226 (0.194518) WDR53","false","0.194518","KIAA0226 (0.194518) WDR53"
"40803","68.11428571","0.163016",,,"0.163016","ACAP3 (0.163016) UBE2J2","false","0.163016","ACAP3 (0.163016) UBE2J2"
"40804","10.68571429","0.192532",,,"0.192532","ACAP3 (0.192532) PUSL1","false","0.192532","ACAP3 (0.192532) PUSL1"
"40805","8.0","0.170548",,,"0.170548","ACBD3 (0.170548) TSNAX","false","0.170548","ACBD3 (0.170548) TSNAX"
"40806","2.0","0.222707",,,"0.222707","ACBD3 (0.222707) SDE2","false","0.222707","ACBD3 (0.222707) SDE2"
"40807","8.0","0.165136",,,"0.165136","SDE2 (0.165136) TSNAX","false","0.165136","SDE2 (0.165136) TSNAX"
"40808","34.33333333","0.178421",,,"0.178421","RAB18 (0.178421) YME1L1","false","0.178421","RAB18 (0.178421) YME1L1"
"40809","32.33333333","0.198703",,,"0.198703","RAB18 (0.198703) WAC","false","0.198703","RAB18 (0.198703) WAC"
"40810","32.33333333","0.172246",,,"0.172246","MASTL (0.172246) WAC","false","0.172246","MASTL (0.172246) WAC"
"40811","34.33333333","0.230683",,,"0.230683","MASTL (0.230683) YME1L1","false","0.230683","MASTL (0.230683) YME1L1"
"40812","40.73015873","0.176606",,,"0.176606","ACIN1 (0.176606) NGDN","false","0.176606","ACIN1 (0.176606) NGDN"
"40813","10.66666667","0.177173",,,"0.177173","ACIN1 (0.177173) SUPT16H","false","0.177173","ACIN1 (0.177173) SUPT16H"
"40814","71.54761905","0.181061",,,"0.181061","ACIN1 (0.181061) CHD8","false","0.181061","ACIN1 (0.181061) CHD8"
"40815","27.1984127","0.218889",,,"0.218889","ACIN1 (0.218889) C14orf119","false","0.218889","ACIN1 (0.218889) C14orf119"
