hs8	13083361	13604610	hs8	102648779	102655902
hs8	13083361	13604610	hs8	143636013	143656418
hs8	13083361	13604610	hs8	33547755	33567125
hs19	52336245	52367778	hs19	52113091	52139922
hs19	19865886	19894674	hs19	21804949	21852125
hs19	19865886	19894674	hs19	32345594	32387667
hs19	56538948	56556810	hs19	57527325	57557542
hs19	56538948	56556810	hs19	51991332	52008230
hs5	98853985	98928957	hs5	112861222	112869788
hs5	98853985	98928957	hs5	134194334	134226142
hs3	150408335	150466431	hs3	40524878	40574685
hs1	27392644	27395814	hs1	44800225	44805990
hs16	89696343	89701705	hs16	3018445	3022383
hs10	97332497	97334709	hs10	806914	931705
hs19	36334453	36379199	hs19	40069152	40090938
hs19	36334453	36379199	hs19	36383120	36418656
hs19	36334453	36379199	hs19	37551406	37614097
hs19	11089362	11133816	hs19	36445119	36489902
hs6	42744481	42746096	hs6	27450743	27473118
hs6	11183298	11382348	hs6	42744481	42746096
hs6	11183298	11382348	hs6	3722614	3752026
hs19	51991332	52008230	hs19	52113091	52139922
hs19	37613749	37692337	hs19	37411155	37469275
hs19	37613749	37692337	hs19	37696363	37719790
hs19	37613749	37692337	hs19	36445119	36489902
hs19	44002948	44013926	hs19	57351307	57359898
hs19	44002948	44013926	hs19	52269571	52296046
hs19	44002948	44013926	hs19	57527325	57557542
hs19	44002948	44013926	hs19	36445119	36489902
hs19	44002948	44013926	hs19	51991332	52008230
hs19	44002948	44013926	hs19	37696363	37719790
hs19	37696363	37719790	hs19	52113091	52139922
hs19	37696363	37719790	hs19	52336245	52367778
hs19	36445119	36489902	hs19	52012765	52030240
hs19	36445119	36489902	hs19	21221500	21329425
hs19	36445119	36489902	hs19	51991332	52008230
hs19	36445119	36489902	hs19	37411155	37469275
hs7	87934143	88202889	hs7	82754013	83162930
hs9	2621834	2660053	hs9	2422702	2643359
hs22	23834503	23839128	hs22	41699499	41799456
hs8	22687659	22693302	hs8	125430321	125438405
hs6	36676460	36687339	hs6	37170203	37175426
hs12	52022832	52059507	hs12	132986365	133032952
hs12	52022832	52059507	hs12	48857145	48865898
hs1	161184308	161199056	hs1	44800225	44805990
hs8	102648779	102655902	hs8	33547755	33567125
hs19	29665056	29675457	hs19	40440844	40444705
hs12	52069246	52077494	hs12	7919230	7936275
hs12	52069246	52077494	hs12	122865328	122896444
hs12	52069246	52077494	hs12	106955719	106978778
hs12	48857145	48865898	hs12	7812512	7891148
hs12	48857145	48865898	hs12	7919230	7936275
hs19	40421592	40426025	hs19	40440844	40444705
hs19	1248553	1259140	hs19	53866223	53876437
hs19	1248553	1259140	hs19	35887653	35902303
hs19	1248553	1259140	hs19	40440844	40444705
hs19	1248553	1259140	hs19	40421592	40426025
hs12	7812512	7891148	hs12	7919230	7936275
hs8	33547755	33567125	hs8	48917690	48921740
hs8	33547755	33567125	hs8	73972437	73982783
hs1	150508062	150513789	hs1	1632095	1701810
hs9	18473894	18910950	hs9	98807699	98850081
hs15	24823637	24978723	hs15	24954986	24977850
hs1	161070995	161089599	hs1	156061160	156070514
hs19	51345169	51366418	hs19	19515736	19529054
hs2	63588609	63607197	hs2	46541806	46583121
hs2	63588609	63607197	hs2	63840940	63891562
hs11	124752583	124762290	hs11	124883691	124898500
hs6	32038265	32041670	hs6	32041154	32115334
hs11	62686402	62689899	hs11	89324356	89498187
hs4	112818109	113383740	hs4	8269765	8307111
hs6	85449584	85495791	hs6	32041154	32115334
hs5	180601506	180649624	hs5	93583337	93594615
hs19	14147743	14206187	hs19	14477760	14496149
hs4	99304964	99321401	hs4	99336492	99353027
hsX	154428632	154436516	hsX	68498323	68537285
hs7	132123332	132648688	hs7	76326794	76359031
hs7	132123332	132648688	hs7	65873267	65959563
hs2	85354394	85391752	hs2	63840940	63891562
hs2	85354394	85391752	hs2	9403475	9423547
hs2	85354394	85391752	hs2	231523160	231530495
hs19	37007857	37130314	hs19	42220271	42228201
hs19	37007857	37130314	hs19	52113091	52139922
hs7	99325898	99388164	hs7	99408641	99419616
